cards_bee.log - 2018-12-07 19:53:45.506710: ['pattern5', '0.18', (0, 12), re.compile('\\d+(.)\\d+\\sseconds')]
cards_bee.log - 2018-12-07 19:53:45.506710: ['pattern5', '0.213', (0, 13), re.compile('\\d+(.)\\d+\\sseconds')]
cards_bee.log - 2018-12-07 19:53:45.507689: ['pattern5', '0.017', (0, 13), re.compile('\\d+(.)\\d+\\sseconds')]
cards_bee.log - 2018-12-07 19:53:45.508693: ['pattern5', '0.146', (0, 13), re.compile('\\d+(.)\\d+\\sseconds')]
cards.log - 2018-12-11 03:25:40.835830: [u'pattern2', '41.5974', (26, 41), <_sre.SRE_Pattern object at 0x7f6f66b58030>]
cards.log - 2018-12-11 03:25:40.837273: [u'pattern3', '/user/oracle/.password', (0, 22), <_sre.SRE_Pattern object at 0x7f6f66fe8d50>]
cards.log - 2018-12-11 03:25:40.838481: [u'pattern1', '28.1982', (0, 22), <_sre.SRE_Pattern object at 0x7f6f6e0519f0>]
cards.log - 2018-12-11 05:03:22.277989: [u'pattern2', '41.5974', (26, 41), <_sre.SRE_Pattern object at 0x7f78bdc1d030>]
cards.log - 2018-12-11 05:03:22.278393: [u'pattern3', '/user/oracle/.password', (0, 22), <_sre.SRE_Pattern object at 0x7f78be0add50>]
cards.log - 2018-12-11 05:03:22.278540: [u'pattern1', '28.1982', (0, 22), <_sre.SRE_Pattern object at 0x7f78c51169f0>]
cards.log - 2018-12-11 05:03:38.644936: [u'pattern2', '41.5974', (26, 41), <_sre.SRE_Pattern object at 0x7f7261e05030>]
cards.log - 2018-12-11 05:03:38.645231: [u'pattern3', '/user/oracle/.password', (0, 22), <_sre.SRE_Pattern object at 0x7f7262295d50>]
cards.log - 2018-12-11 05:03:38.645384: [u'pattern1', '28.1982', (0, 22), <_sre.SRE_Pattern object at 0x7f72692fe9f0>]
cards.log - 2018-12-11 05:03:42.233436: [u'pattern2', '41.5974', (26, 41), u'\\d+(.)\\d+\\sseconds']
